Kernel_version,ARCH,nb_options,Sumtotkernel
linux-4.10.1,m32r,11610,
linux-4.10.1,mips,12386,
linux-4.10.1,metag,11542,
linux-4.10.1,arc,11628,
linux-4.10.1,avr32,11766,
linux-4.10.1,cris,11813,
linux-4.10.1,microblaze,11572,
linux-4.10.1,hexagon,11466,
linux-4.10.1,tile,11617,
linux-4.10.1,frv,11628,
linux-4.10.1,alpha,11657,
linux-4.10.1,ia64,11879,
linux-4.10.1,sh,11948,
linux-4.10.1,mn10300,11689,
linux-4.10.1,um,11546,
linux-4.10.1,x86,12216,
linux-4.10.1,openrisc,11464,
linux-4.10.1,score,11464,
linux-4.10.1,xtensa,11645,
linux-4.10.1,m68k,11716,
linux-4.10.1,c6x,11465,
linux-4.10.1,arm64,11969,
linux-4.10.1,unicore32,11724,
linux-4.10.1,sparc,11763,
linux-4.10.1,powerpc,12299,
linux-4.11.1,blackfin,12864,370676
linux-4.11.1,nios2,11653,
linux-4.11.1,h8300,11623,
linux-4.11.1,parisc,11791,
linux-4.11.1,s390,11854,
linux-4.11.1,arm,13292,
linux-4.11.1,m32r,11775,
linux-4.11.1,mips,12556,
linux-4.11.1,metag,11705,
linux-4.11.1,arc,11792,
linux-4.11.1,avr32,11932,
linux-4.11.1,cris,11977,
linux-4.11.1,microblaze,11737,
linux-4.11.1,hexagon,11629,
linux-4.11.1,tile,11782,
linux-4.11.1,frv,11793,
linux-4.11.1,alpha,11822,
linux-4.11.1,ia64,12045,
linux-4.11.1,sh,12114,
linux-4.11.1,mn10300,11854,
linux-4.11.1,um,11709,
linux-4.11.1,x86,12377,
linux-4.11.1,openrisc,11627,
linux-4.11.1,score,11627,
linux-4.11.1,xtensa,11810,
linux-4.11.1,m68k,11881,
linux-4.11.1,c6x,11628,
linux-4.11.1,arm64,12142,
linux-4.11.1,unicore32,11890,
linux-4.11.1,sparc,11929,
linux-4.11.1,powerpc,12466,
linux-4.12.1,blackfin,13088,365226
linux-4.12.1,nios2,11864,
linux-4.12.1,h8300,11831,
linux-4.12.1,parisc,12007,
linux-4.12.1,s390,12072,
linux-4.12.1,arm,13511,
linux-4.12.1,m32r,11991,
linux-4.12.1,mips,12779,
linux-4.12.1,metag,11913,
linux-4.12.1,arc,12008,
linux-4.12.1,cris,12187,
linux-4.12.1,microblaze,11953,
linux-4.12.1,hexagon,11837,
linux-4.12.1,tile,11998,
linux-4.12.1,frv,12009,
linux-4.12.1,alpha,12038,
linux-4.12.1,ia64,12270,
linux-4.12.1,sh,12332,
linux-4.12.1,mn10300,12070,
linux-4.12.1,um,11917,
linux-4.12.1,x86,12606,
linux-4.12.1,openrisc,11835,
linux-4.12.1,score,11835,
linux-4.12.1,xtensa,12026,
linux-4.12.1,m68k,12097,
linux-4.12.1,c6x,11836,
linux-4.12.1,arm64,12368,
linux-4.12.1,unicore32,12108,
linux-4.12.1,sparc,12146,
linux-4.12.1,powerpc,12694,
linux-4.13.1,blackfin,13277,370860
linux-4.13.1,nios2,12048,
linux-4.13.1,h8300,12015,
linux-4.13.1,parisc,12196,
linux-4.13.1,s390,12260,
linux-4.13.1,arm,13710,
linux-4.13.1,m32r,12179,
linux-4.13.1,mips,12972,
linux-4.13.1,metag,12097,
linux-4.13.1,arc,12195,
linux-4.13.1,cris,12371,
linux-4.13.1,microblaze,12141,
linux-4.13.1,hexagon,12021,
linux-4.13.1,tile,12186,
linux-4.13.1,frv,12197,
linux-4.13.1,alpha,12226,
linux-4.13.1,ia64,12460,
linux-4.13.1,sh,12520,
linux-4.13.1,mn10300,12258,
linux-4.13.1,um,12101,
linux-4.13.1,x86,12797,
linux-4.13.1,openrisc,12019,
linux-4.13.1,score,12019,
linux-4.13.1,xtensa,12214,
linux-4.13.1,m68k,12285,
linux-4.13.1,c6x,12020,
linux-4.13.1,arm64,12563,
linux-4.13.1,unicore32,12296,
linux-4.13.1,sparc,12335,
linux-4.13.1,powerpc,12882,
linux-4.14.1,blackfin,13417,375066
linux-4.14.1,nios2,12187,
linux-4.14.1,h8300,12155,
linux-4.14.1,parisc,12337,
linux-4.14.1,s390,12403,
linux-4.14.1,arm,13850,
linux-4.14.1,m32r,12319,
linux-4.14.1,mips,13113,
linux-4.14.1,metag,12236,
linux-4.14.1,arc,12338,
linux-4.14.1,cris,12510,
linux-4.14.1,microblaze,12282,
linux-4.14.1,hexagon,12160,
linux-4.14.1,tile,12325,
linux-4.14.1,frv,12337,
linux-4.14.1,alpha,12365,
linux-4.14.1,ia64,12599,
linux-4.14.1,sh,12659,
linux-4.14.1,mn10300,12397,
linux-4.14.1,um,12240,
linux-4.14.1,x86,12946,
linux-4.14.1,openrisc,12159,
linux-4.14.1,score,12158,
linux-4.14.1,xtensa,12353,
linux-4.14.1,m68k,12425,
linux-4.14.1,c6x,12159,
linux-4.14.1,arm64,12705,
linux-4.14.1,unicore32,12435,
linux-4.14.1,sparc,12475,
linux-4.14.1,powerpc,13022,
linux-4.15.1,blackfin,13487,376442
linux-4.15.1,nios2,12255,
linux-4.15.1,h8300,12223,
linux-4.15.1,parisc,12408,
linux-4.15.1,s390,12470,
linux-4.15.1,riscv,12367,
linux-4.15.1,arm,13923,
linux-4.15.1,m32r,12389,
linux-4.15.1,mips,13186,
linux-4.15.1,metag,12303,
linux-4.15.1,arc,12407,
linux-4.15.1,cris,12578,
linux-4.15.1,microblaze,12352,
linux-4.15.1,hexagon,12228,
linux-4.15.1,tile,12395,
linux-4.15.1,frv,12406,
linux-4.15.1,alpha,12435,
linux-4.15.1,ia64,12672,
linux-4.15.1,sh,12728,
linux-4.15.1,mn10300,12466,
linux-4.15.1,um,12308,
linux-4.15.1,x86,13021,
linux-4.15.1,openrisc,12232,
linux-4.15.1,score,12226,
linux-4.15.1,xtensa,12422,
linux-4.15.1,m68k,12496,
linux-4.15.1,c6x,12227,
linux-4.15.1,arm64,12785,
linux-4.15.1,unicore32,12504,
linux-4.15.1,sparc,12543,
linux-4.15.1,powerpc,13092,
linux-4.16.1,blackfin,13591,392695
linux-4.16.1,nios2,12352,
linux-4.16.1,h8300,12320,
linux-4.16.1,parisc,12510,
linux-4.16.1,s390,12578,
linux-4.16.1,riscv,12471,
linux-4.16.1,arm,14031,
linux-4.16.1,m32r,12491,
linux-4.16.1,mips,13293,
linux-4.16.1,metag,12400,
linux-4.16.1,arc,12508,
linux-4.16.1,cris,12676,
linux-4.16.1,microblaze,12454,
linux-4.16.1,hexagon,12325,
linux-4.16.1,tile,12498,
linux-4.16.1,frv,12508,
linux-4.16.1,alpha,12537,
linux-4.16.1,ia64,12776,
linux-4.16.1,sh,12830,
linux-4.16.1,mn10300,12568,
linux-4.16.1,um,12404,
linux-4.16.1,x86,13130,
linux-4.16.1,openrisc,12329,
linux-4.16.1,score,12323,
linux-4.16.1,xtensa,12525,
linux-4.16.1,m68k,12598,
linux-4.16.1,c6x,12324,
linux-4.16.1,arm64,12899,
linux-4.16.1,unicore32,12606,
linux-4.16.1,sparc,12646,
linux-4.16.1,powerpc,13194,
linux-4.17.1,nios2,12321,303223
linux-4.17.1,h8300,12289,
linux-4.17.1,parisc,12475,
linux-4.17.1,s390,12549,
linux-4.17.1,riscv,12440,
linux-4.17.1,arm,14002,
linux-4.17.1,mips,13263,
linux-4.17.1,arc,12477,
linux-4.17.1,microblaze,12423,
linux-4.17.1,hexagon,12294,
linux-4.17.1,alpha,12502,
linux-4.17.1,ia64,12744,
linux-4.17.1,sh,12795,
linux-4.17.1,um,12374,
linux-4.17.1,x86,13099,
linux-4.17.1,nds32,12311,
linux-4.17.1,openrisc,12299,
linux-4.17.1,xtensa,12490,
linux-4.17.1,m68k,12563,
linux-4.17.1,c6x,12293,
linux-4.17.1,arm64,12877,
linux-4.17.1,unicore32,12571,
linux-4.17.1,sparc,12611,
linux-4.17.1,powerpc,13161,
linux-4.18.1,nios2,12436,306014
linux-4.18.1,h8300,12404,
linux-4.18.1,parisc,12591,
linux-4.18.1,s390,12666,
linux-4.18.1,riscv,12556,
linux-4.18.1,arm,14118,
linux-4.18.1,mips,13375,
linux-4.18.1,arc,12595,
linux-4.18.1,microblaze,12540,
linux-4.18.1,hexagon,12408,
linux-4.18.1,alpha,12616,
linux-4.18.1,ia64,12862,
linux-4.18.1,sh,12913,
linux-4.18.1,um,12489,
linux-4.18.1,x86,13220,
linux-4.18.1,nds32,12426,
linux-4.18.1,openrisc,12414,
linux-4.18.1,xtensa,12609,
linux-4.18.1,m68k,12682,
linux-4.18.1,c6x,12408,
linux-4.18.1,arm64,12998,
linux-4.18.1,unicore32,12687,
linux-4.18.1,sparc,12726,
linux-4.18.1,powerpc,13275,
linux-4.19.1,nios2,12612,310321
linux-4.19.1,h8300,12582,
linux-4.19.1,parisc,12770,
linux-4.19.1,s390,12845,
linux-4.19.1,riscv,12734,
linux-4.19.1,arm,14300,
linux-4.19.1,mips,13554,
linux-4.19.1,arc,12774,
linux-4.19.1,microblaze,12718,
linux-4.19.1,hexagon,12590,
linux-4.19.1,alpha,12799,
linux-4.19.1,ia64,13042,
linux-4.19.1,sh,13091,
linux-4.19.1,um,12671,
linux-4.19.1,x86,13400,
linux-4.19.1,nds32,12604,
