cid,date,time,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-cid,basic-date,basic-time,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ
70488,2018-06-30 05:35:52,452.383,80686088,16577488,18664264,16374167,20415440,22501664,16095485,13300688,15386944,13107056,11432912,13519600,11232376,18404304,20490472,18215245,19739600,21826088,19538997,70489,2018-06-30 05:48:28,449.508,80686088,16577488,18664264,16374175,20415440,22501664,16095439,13300688,15386944,13108179,11432912,13519600,11233228,18404304,20490472,18215246,19739600,21826088,19538995
70491,2018-06-30 06:10:53,532.944,18627456,4490288,6577032,4328643,8541232,10627424,4259782,3744816,5831040,3593936,3580976,5667632,3420752,4920368,7006504,4768259,5243952,7330408,5079123,70492,2018-06-30 06:23:44,530.876,18627456,4490288,6577032,4328814,8541232,10627424,4259580,3744816,5831040,3593956,3580976,5667632,3420160,4920368,7006504,4768322,5243952,7330408,5079088
70494,2018-06-30 06:54:54,376.168,80891512,7243216,9328080,7092777,11126224,13210536,6860107,5854672,7939024,5715777,5404112,7488888,5255676,7972304,10056568,7837734,8525264,10609840,8377020,70495,2018-06-30 07:05:26,375.314,80891512,7243216,9328080,7092774,11126224,13210536,6860016,5854672,7939024,5715937,5404112,7488888,5255708,7972304,10056568,7837732,8525264,10609840,8377018
70497,2018-06-30 07:23:12,300.355,40779968,7316432,9403048,7116665,11457488,13543552,7137555,5788624,7874720,5598826,5067728,7154256,4868508,8397776,10483784,8207543,9188304,11274632,8985285,70498,2018-06-30 07:32:38,299.915,40779968,7316432,9403048,7116666,11457488,13543552,7137569,5784528,7870624,5593699,5067728,7154256,4867792,8397776,10483784,8207541,9188304,11274632,8985281
70500,2018-06-30 08:02:45,397.555,125087968,10227664,12313728,10083812,14118864,16204368,9854647,8237008,10322544,8101343,7741392,9827360,7596512,11255760,13341208,11122045,11988944,14074712,11844368,70501,2018-06-30 08:13:43,402.034,125087968,10227664,12313728,10083817,14118864,16204368,9854982,8237008,10322544,8103667,7741392,9827360,7598332,11255760,13341208,11122045,11988944,14074712,11844368
70503,2018-06-30 08:29:24,270.008,43891904,9762256,11848520,9561222,13800912,15886624,9481074,7947728,10033472,7754745,7439824,9526000,7240964,10900944,12986600,10711235,11679184,13765160,11476930,70504,2018-06-30 08:37:59,270.151,43887616,9762256,11848520,9559876,13792720,15878432,9474384,7951824,10037568,7758187,7443920,9530096,7242416,10900944,12986600,10712495,11679184,13765160,11478194
70506,2018-06-30 08:58:39,422.417,71983136,20513232,22599128,20365583,23241168,25326504,18976769,16187856,18273232,16050899,14356944,16442744,14212140,22417872,24503160,22283768,23888336,25973936,23741708,70507,2018-06-30 09:10:40,416.681,71987232,20513232,22599128,20365399,23245264,25330600,18979745,16187856,18273232,16049923,14361040,16446840,14212792,22421968,24507256,22286020,23888336,25973936,23743114
70509,2018-06-30 09:32:26,305.603,68268736,13551152,15639128,13329289,17700400,19787824,13363277,11089456,13176912,10877742,9262640,11350528,9041504,15144496,17231864,14934695,16352816,18440504,16134447,70510,2018-06-30 09:41:52,307.816,68268760,13551152,15639128,13329405,17704496,19791920,13364272,11089456,13176912,10877227,9258544,11346432,9038040,15144496,17231864,14934613,16352816,18440504,16134692
70512,2018-06-30 09:59:49,284.143,19623800,4768720,6853760,4621789,8774608,10859088,4510758,3912656,5997168,3779368,3666896,5751840,3523152,5239760,7324184,5106236,5592016,7676760,5446880,70513,2018-06-30 10:08:10,285.152,19623800,4768720,6853760,4621788,8774608,10859088,4510724,3912656,5997168,3779291,3670992,5755936,3525276,5239760,7324184,5106236,5592016,7676760,5446880
70515,2018-06-30 10:31:31,397.304,184327392,11789776,13876040,11586871,15877584,17963296,11556292,9446864,11532608,9253335,8947152,11033328,8744308,13247952,15333608,13058441,14267856,16353832,14067506,70516,2018-06-30 10:42:25,396.71,184327392,11789776,13876040,11586871,15877584,17963296,11556372,9442768,11528512,9251165,8943056,11029232,8740616,13247952,15333608,13058440,14267856,16353832,14067506
